id;nome;cidade_id;excluido;tabela_id;referencia;bairro_id_pai
1;ABRAHÃO ALAB;16;0;;;
2;ADALBERTO ARAGÃO;16;0;;;
3;AEROPORTO VELHO;16;0;;;
4;ALEGRIA;16;0;;;
5;AREAL;16;0;;;
6;AVIÁRIO;16;0;;;
7;BAHIA;16;0;;;
8;BAHIA NOVA;16;0;;;
9;BAIXA DA COLINA;16;0;;;
10;BASE;16;0;;;
11;BELA VISTA;16;0;;;
12;BOSQUE;16;0;;;
13;CADEIA NOVA;16;0;;;
14;CADEIA VELHA;16;0;;;
15;CALAFATE;16;0;;;
16;CAPOEIRA;16;0;;;
17;CENTRO;16;0;;;
18;CERÂMICA;16;0;;;
19;CHÁCARA IPÊ;16;0;;;
20;CONQUISTA;16;0;;;
21;CORRENTE;16;0;;;
22;DISTRITO INDUSTRIAL;16;0;;;
23;ESPERANÇA;16;0;;;
24;ESTAÇÃO EXPERIMENTAL;16;0;;;
25;FLORESTA;16;0;;;
26;GERALDO FLEMING;16;0;;;
27;IPASE;16;0;;;
28;IVETE VARGAS;16;0;;;
29;IZAURA PARENTE;16;0;;;
30;JARDIM DE ALAH;16;0;;;
31;JARDIM EUROPA;16;0;;;
32;JOSÉ AUGUSTO;16;0;;;
33;JOÃO EDUARDO;16;0;;;
34;MANOEL JULIÃO;16;0;;;
35;MASCARENHAS DE MORAES;16;0;;;
36;MORADA DO SOL;16;0;;;
37;NOVA ESTAÇÃO;16;0;;;
38;NOVO HORIZONTE;16;0;;;
39;PALHEIRAL;16;0;;;
40;PAPOUCO;16;0;;;
41;PLACAS;16;0;;;
42;PLÁCIDO DE CASTRO;16;0;;;
43;PREVENTÓRIO;16;0;;;
44;PRIMAVERA;16;0;;;
45;QUINZE;16;0;;;
46;SANTA INÊS;16;0;;;
47;SANTA QUITÉRIA;16;0;;;
48;SÃO FRANCISCO;16;0;;;
49;SEGUNDO DISTRITO;16;0;;;
50;SEIS DE AGOSTO;16;0;;;
51;SOBRAL;16;0;;;
52;TANCREDO NEVES;16;0;;;
53;TAQUARI;16;0;;;
54;TERMINAL CADEIA VELHA;16;0;;;
55;TRIÂNGULO;16;0;;;
56;TROPICAL;16;0;;;
57;VILA ACRE;16;0;;;
58;VILA IVONETE;16;0;;;
59;ALTO DO CRUZEIRO;30;0;;;
60;BAIXA GRANDE;30;0;;;
61;BAIXÃO;30;0;;;
62;BOA VISTA;30;0;;;
63;BRASÍLIA;30;0;;;
64;BRASILIANA;30;0;;;
65;CACIMBAS;30;0;;;
66;CAITITUS;30;0;;;
67;CANAFÍSTULA;30;0;;;
68;CAPIATÃ;30;0;;;
69;CAVACO;30;0;;;
70;CENTRO;30;0;;;
71;ELDORADO;30;0;;;
72;GUARIBAS;30;0;;;
73;ITAPOÃ;30;0;;;
74;JARDIM ESPERANÇA;30;0;;;
75;JARDIM TROPICAL;30;0;;;
76;MANOEL TELES;30;0;;;
77;NOVA ESPERANÇA;30;0;;;
78;NOVO HORIZONTE;30;0;;;
79;OLHO D'ÁGUA DOS CAZUZINHOS;30;0;;;
80;OURO PRETO;30;0;;;
81;PLANALTO;30;0;;;
82;ZÉLIA BARBOSA ROCHA;30;0;;;
83;PRIMAVERA;30;0;;;
84;SANTA EDWIGES;30;0;;;
85;SANTA ESMERALDA;30;0;;;
86;SÃO LUIZ;30;0;;;
87;SENADOR ARNON DE MELO;30;0;;;
88;SENADOR TEOTÔNIO VILELA;30;0;;;
89;VERDES CAMPOS;30;0;;;
90;SANTOS DUMONT;109;0;;;
91;ANTARES;109;0;;;
92;BARRO DURO;109;0;;;
93;BEBEDOURO;109;0;;;
95;BENEDITO BENTES;109;0;;;
96;BOM PARTO;109;0;;;
97;CANAÃ;109;0;;;
98;CENTRO;109;0;;;
99;CHÃ DA JAQUEIRA;109;0;;;
100;CRUZ DAS ALMAS;109;0;;;
101;FAROL;109;0;;;
102;FEITOSA;109;0;;;
103;FERNÃO VELHO;109;0;;;
104;IPIOCA;109;0;;;
105;GRUTA DE LOURDES;109;0;;;
107;JACARECICA;109;0;;;
108;JACINTINHO;109;0;;;
109;JARAGUÁ;109;0;;;
110;JATIÚCA;109;0;;;
111;LEVADA;109;0;;;
112;MANGABEIRAS;109;0;;;
113;MUTANGE;109;0;;;
114;OURO PRETO;109;0;;;
115;PAJUÇARA;109;0;;;
116;PINHEIRO;109;0;;;
117;PITANGUINHA;109;0;;;
118;POÇO;109;0;;;
119;PONTA DA TERRA;109;0;;;
120;PONTA GROSSA;109;0;;;
121;PONTA VERDE;109;0;;;
122;PONTAL DA BARRA;109;0;;;
123;PRADO;109;0;;;
124;RIACHO DOCE;109;0;;;
125;RIO NOVO;109;0;;;
126;SANTA AMÉLIA;109;0;;;
128;SERRARIA;109;0;;;
129;TABULEIRO DO MARTINS;109;0;;;
130;TRAPICHE DA BARRA;109;0;;;
131;VERGEL DO LAGO;109;0;;;
132;ALTO DO CRUZEIRO;135;0;;;
133;CENTRO;135;0;;;
134;EUCALÍPTOS;135;0;;;
135;JARDIM BRASIL;135;0;;;
136;JUCA SAMPAIO;135;0;;;
137;PALMEIRA DE FORA;135;0;;;
138;PARAÍSO;135;0;;;
139;RIBEIRA;135;0;;;
140;SÃO CRISTÓVÃO;135;0;;;
141;SÃO FRANCISCO;135;0;;;
142;TENÓRIO CAVALCANTE;135;0;;;
144;VILA MARIA;135;0;;;
145;VILA NOVA;135;0;;;
146;XUCURUS;135;0;;;
147;ADRIANÓPOLIS;243;0;;;
148;ALEIXO;243;0;;;
149;ALVORADA;243;0;;;
150;APARECIDA;243;0;;;
151;ARMANDO MENDES;243;0;;;
152;BETÂNIA;243;0;;;
153;CACHOEIRINHA;243;0;;;
154;CENTRO;243;0;;;
155;CHAPADA;243;0;;;
156;CIDADE NOVA;243;0;;;
157;COLÔNIA ANTÔNIO ALEIXO;243;0;;;
158;COLÔNIA OLIVEIRA MACHADO;243;0;;;
159;COLÔNIA SANTO ANTÔNIO;243;0;;;
160;COLÔNIA TERRA NOVA;243;0;;;
161;COMPENSA;243;0;;;
162;COROADO;243;0;;;
163;CRESPO;243;0;;;
164;DISTRITO INDUSTRIAL;243;0;;;
165;DOM PEDRO;243;0;;;
166;EDUCANDOS;243;0;;;
167;FLORES;243;0;;;
168;GLÓRIA;243;0;;;
169;JAPIIM;243;0;;;
170;JORGE TEIXEIRA;243;0;;;
171;LÍRIO DO VALE;243;0;;;
172;MAUAZINHO;243;0;;;
173;MONTE DAS OLIVEIRAS;243;0;;;
174;MORRO DA LIBERDADE;243;0;;;
175;NOSSA SENHORA DAS GRAÇAS;243;0;;;
176;NOVA ESPERANÇA;243;0;;;
177;NOVO ISRAEL;243;0;;;
178;PARQUE 10 DE NOVEMBRO;243;0;;;
179;PAZ;243;0;;;
180;PETRÓPOLIS;243;0;;;
181;PLANALTO;243;0;;;
182;PONTA NEGRA;243;0;;;
183;PRAÇA 14 DE JANEIRO;243;0;;;
184;PRESIDENTE VARGAS;243;0;;;
185;PURAQUEQUARA;243;0;;;
186;RAIZ;243;0;;;
187;REDENÇÃO;243;0;;;
188;SANTA ETELVINA;243;0;;;
189;SANTA LUZIA;243;0;;;
190;SANTO AGOSTINHO;243;0;;;
191;SANTO ANTÔNIO;243;0;;;
192;SÃO FRANCISCO;243;0;;;
193;SÃO GERALDO;243;0;;;
194;SÃO JORGE;243;0;;;
195;SÃO JOSÉ OPERÁRIO;243;0;;;
196;SÃO LÁZARO;243;0;;;
197;SÃO RAIMUNDO;243;0;;;
198;TANCREDO NEVES;243;0;;;
199;TARUMÃ;243;0;;;
200;VILA BURITI;243;0;;;
201;VILA DA PRATA;243;0;;;
202;ZUMBI DOS PALMARES;243;0;;;
203;CENTRO;256;0;;;
204;DJARD VIEIRA;256;0;;;
205;EMÍLIO MOREIRA;256;0;;;
206;JOSÉ ESTEVES;256;0;;;
207;PALMARES;256;0;;;
208;SANTA CLARA;256;0;;;
209;SANTA RITA DE CÁSSIA;256;0;;;
210;SÃO BENEDITO;256;0;;;
211;SÃO FRANCISCO;256;0;;;
212;SÃO JOSÉ;256;0;;;
213;SÃO VICENTE DE PAULA;256;0;;;
214;ALVORADA;307;0;;;
215;BEIROL;307;0;;;
216;BURITIZAL;307;0;;;
217;CENTRAL;307;0;;;
218;CONGÓS;307;0;;;
220;JARDIM FELICIDADE;307;0;;;
221;JARDIM MARCO ZERO;307;0;;;
222;JESUS DE NAZARÉ;307;0;;;
223;JULIÃO RAMOS;307;0;;;
224;MUCA;307;0;;;
225;NOVA ESPERANÇA;307;0;;;
226;PACOVAL;307;0;;;
227;PERPÉTUO SOCORRO;307;0;;;
228;SANTA INÊS;307;0;;;
229;SANTA RITA;307;0;;;
230;SÃO LÁZARO;307;0;;;
231;TREM;307;0;;;
232;ALAGOINHAS VELHA;342;0;;;
233;BARREIRO;342;0;;;
234;CATU;342;0;;;
235;CENTRO;342;0;;;
236;DOIS DE JULHO;342;0;;;
237;JARDIM PEDRO BRAGA;342;0;;;
238;JARDIM PETROLAR;342;0;;;
239;JURACY MAGALHÃES;342;0;;;
240;KENNEDY;342;0;;;
241;MANGALÔ;342;0;;;
243;PARQUE VITÓRIA;342;0;;;
244;SANTA ISABEL;342;0;;;
245;SANTA TEREZINHA;342;0;;;
246;SILVA JARDIM;342;0;;;
247;TERESÓPOLIS;342;0;;;
248;BOA VISTA;403;0;;;
