id;nome;estado_id;codigo_ibge;;;44;Nossa Senhora do Livramento Monsenhor Tabosa
1;Acrelândia;1;13;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Acrelândia','13','1');;
2;Assis Brasil;1;54;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Assis Brasil','54','1');;
3;Brasiléia;1;104;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Brasiléia','104','1');;
4;Bujari;1;138;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bujari','138','1');;
5;Capixaba;1;179;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Capixaba','179','1');;
6;Cruzeiro do Sul;1;203;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cruzeiro do Sul','203','1');;
7;Epitaciolândia;1;252;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Epitaciolândia','252','1');;
8;Feijó;1;302;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Feijó','302','1');;
9;Jordão;1;328;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Jordão','328','1');;
10;Mâncio Lima;1;336;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Mâncio Lima','336','1');;
11;Manoel Urbano;1;344;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Manoel Urbano','344','1');;
12;Marechal Thaumaturgo;1;351;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Marechal Thaumaturgo','351','1');;
13;Plácido de Castro;1;385;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Plácido de Castro','385','1');;
14;Porto Acre;1;807;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Porto Acre','807','1');;
15;Porto Walter;1;393;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Porto Walter','393','1');;
16;Rio Branco;1;401;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Rio Branco','401','1');;
17;Rodrigues Alves;1;427;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Rodrigues Alves','427','1');;
18;Santa Rosa do Purus;1;435;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Santa Rosa do Purus','435','1');;
19;Sena Madureira;1;500;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Sena Madureira','500','1');;
20;Senador Guiomard;1;450;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Senador Guiomard','450','1');;
21;Tarauacá;1;609;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Tarauacá','609','1');;
22;Xapuri;1;708;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Xapuri','708','1');;
23;Água Branca;2;102;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Água Branca','102','2');;
24;Alazão Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Alazão Arapiraca','0','2');;
25;Alecrim Pão de Açúcar;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Alecrim Pão de Açúcar','0','2');;
26;Anadia;2;201;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Anadia','201','2');;
27;Anel Viçosa;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Anel Viçosa','0','2');;
28;Anum Novo Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Anum Novo Palmeira dos Índios','0','2');;
29;Anum Velho Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Anum Velho Palmeira dos Índios','0','2');;
30;Arapiraca;2;300;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Arapiraca','300','2');;
31;Atalaia;2;409;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Atalaia','409','2');;
32;Baixa da Onça Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Baixa da Onça Arapiraca','0','2');;
33;Baixa do Capim Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Baixa do Capim Arapiraca','0','2');;
34;Bálsamo Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bálsamo Arapiraca','0','2');;
35;Bananeiras Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bananeiras Arapiraca','0','2');;
36;Barra de Santo Antônio;2;508;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Barra de Santo Antônio','508','2');;
